                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8604,                 3.7755,                 1.7021,                0.00516,                    0.5,                0.03483,                0.01915,                 1.3785,                 3.7216,                 1.6696,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                  1.466,                 3.5259,                 1.5267,                0.00606,                0.55556,                0.07842,                0.05097,                 1.1991,                 3.5372,                 1.4585,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 1.4142,                 3.4301,                 1.4384,                0.00678,                0.62222,                0.32054,                0.21986,                 1.0643,                 3.4483,                 1.2421,             0.00011206,             0.00011206,             0.00011206
                      4,                 1.2258,                 3.0324,                 1.3262,                0.00918,                0.81111,                0.29845,                0.23066,                 1.1342,                 3.3547,                  1.231,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.2594,                 2.7159,                  1.281,                0.00911,                0.81111,                0.26776,                 0.1968,                 1.1884,                 3.2068,                 1.2674,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.4007,                 2.4065,                 1.2077,                0.00991,                0.86667,                0.27046,                0.18771,                 1.1758,                 3.1197,                 1.3049,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.1322,                 2.0347,                 1.2669,                0.01073,                0.93333,                 0.3694,                0.21749,                 1.2587,                 2.9852,                 1.4312,             0.00026882,             0.00026882,             0.00026882
                      8,                  1.129,                 1.7332,                 1.1767,                0.56568,                0.13136,                0.33486,                0.20997,                 1.3196,                 2.8887,                 1.4902,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.1864,                 1.7529,                 1.1844,                0.68547,                0.38743,                0.44516,                0.26045,                 1.4075,                 2.7169,                 1.5632,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.2224,                 1.5995,                 1.2127,                0.67588,                0.44444,                0.45311,                0.25849,                 1.4723,                 2.6657,                 1.5684,             0.00037749,             0.00037749,             0.00037749
                     11,                 1.0268,                 1.3767,                 1.1082,                0.59527,                0.33333,                0.45103,                0.29559,                  1.639,                 2.4577,                 1.8294,             0.00041201,             0.00041201,             0.00041201
                     12,                  1.167,                 1.3789,                 1.2038,                0.69115,                0.38889,                0.43615,                0.31027,                 1.4347,                 2.2119,                 1.7143,             0.00044568,             0.00044568,             0.00044568
                     13,                 1.1778,                 1.6288,                 1.1976,                0.86481,                0.48866,                0.63833,                0.37132,                 1.2182,                 1.9683,                 1.5038,             0.00047851,             0.00047851,             0.00047851
                     14,                 1.1321,                 1.1846,                 1.1368,                0.88021,                 0.4672,                0.65248,                0.35078,                 1.2004,                 2.0703,                 1.4434,             0.00051049,             0.00051049,             0.00051049
                     15,                 1.0542,                 1.1928,                 1.1408,                0.61453,                0.45556,                0.57461,                0.39161,                  1.336,                 2.2938,                  1.455,             0.00054161,             0.00054161,             0.00054161
                     16,                0.91933,                 1.4148,                 1.0939,                 0.6641,                0.47621,                0.60071,                0.42116,                 1.2599,                 2.2763,                 1.3605,             0.00057189,             0.00057189,             0.00057189
                     17,                 1.1675,                 1.2592,                 1.1692,                0.93854,                0.38889,                0.58623,                0.40859,                 1.2439,                 2.1937,                 1.3178,             0.00060132,             0.00060132,             0.00060132
                     18,                 1.1414,                 1.1544,                  1.099,                  0.941,                0.38889,                0.64593,                0.45169,                 1.3098,                 2.0634,                 1.4738,              0.0006299,              0.0006299,              0.0006299
                     19,                  1.034,                 1.1632,                 1.1156,                0.63458,                0.50097,                0.57002,                0.37884,                 1.2447,                 2.0583,                  1.383,             0.00065764,             0.00065764,             0.00065764
                     20,                  1.024,                 1.1532,                 1.1106,                0.62842,                0.55075,                0.59112,                0.36374,                 1.3082,                 2.1152,                 1.4571,             0.00068452,             0.00068452,             0.00068452
                     21,                 1.0025,                0.96291,                 1.0284,                0.59825,                 0.5453,                0.57846,                0.36145,                 1.3934,                  2.071,                 1.6136,             0.00071056,             0.00071056,             0.00071056
                     22,                0.97972,                0.98336,                 1.0323,                0.63058,                0.53727,                0.58334,                0.39267,                 1.3795,                 2.0953,                 1.5924,             0.00073574,             0.00073574,             0.00073574
                     23,                0.93502,                0.93173,                 1.0498,                0.81017,                 0.6151,                0.71083,                0.41693,                 1.1566,                  2.149,                 1.3794,             0.00076008,             0.00076008,             0.00076008
                     24,                 1.0752,                0.97407,                  1.024,                0.80378,                 0.6088,                0.72934,                0.41524,                 1.2047,                 2.2064,                 1.4646,             0.00078357,             0.00078357,             0.00078357
                     25,                0.88486,                0.88475,                 0.9984,                0.67358,                0.49818,                0.55925,                0.37604,                 1.2406,                 2.2072,                 1.4215,             0.00080621,             0.00080621,             0.00080621
                     26,                 1.0102,                0.94909,                 1.0206,                0.79564,                0.61091,                0.67639,                0.44773,                 1.2845,                 2.0319,                 1.4219,               0.000828,               0.000828,               0.000828
                     27,                 1.0433,                 1.1468,                 1.1621,                0.79722,                0.62979,                0.68468,                0.46164,                 1.2308,                 1.9646,                 1.3668,             0.00084894,             0.00084894,             0.00084894
                     28,                0.92153,                0.89772,                 1.0516,                0.75537,                0.64985,                0.67618,                  0.481,                 1.1381,                  1.945,                 1.3055,             0.00086903,             0.00086903,             0.00086903
                     29,                 0.9608,                0.92368,                 1.0316,                0.75537,                0.64985,                0.67618,                  0.481,                 1.1381,                  1.945,                 1.3055,             0.00088828,             0.00088828,             0.00088828
                     30,                0.86844,                0.93546,                 1.0108,                0.79994,                 0.7916,                0.73426,                 0.4809,                 1.1736,                 1.9421,                 1.3766,             0.00090667,             0.00090667,             0.00090667
                     31,                0.89846,                0.88419,                 1.0112,                0.88588,                0.75244,                0.79437,                0.48306,                 1.2372,                 1.9429,                 1.3818,             0.00092422,             0.00092422,             0.00092422
                     32,                0.92865,                0.92601,                 1.0291,                0.89841,                 0.6228,                0.85222,                0.48989,                 1.3071,                 1.7893,                 1.4379,             0.00094092,             0.00094092,             0.00094092
                     33,                 1.0746,                 1.1267,                 1.1665,                0.89841,                 0.6228,                0.85222,                0.48989,                 1.3071,                 1.7893,                 1.4379,             0.00095677,             0.00095677,             0.00095677
                     34,                0.92112,                0.93912,                 1.0535,                0.81838,                0.79585,                0.93299,                0.49544,                 1.3781,                 1.5973,                 1.5232,             0.00096215,             0.00096215,             0.00096215
                     35,                0.83922,                0.86746,                 1.0266,                0.94192,                0.75223,                0.97076,                0.55728,                 1.2402,                 1.4463,                 1.3564,             0.00096215,             0.00096215,             0.00096215
                     36,                0.76131,                0.88294,                0.98432,                0.94942,                0.78011,                0.96238,                0.55823,                 1.2299,                 1.3984,                 1.3681,               0.000948,               0.000948,               0.000948
                     37,                0.91201,                 0.9271,                 1.0688,                0.94942,                0.78011,                0.96238,                0.55823,                 1.2299,                 1.3984,                 1.3681,             0.00093385,             0.00093385,             0.00093385
                     38,                0.87925,                0.90228,                 1.0283,                 0.7255,                 0.9255,                0.90804,                0.52303,                 1.1567,                 1.4215,                 1.3538,              0.0009197,              0.0009197,              0.0009197
                     39,                0.86132,                0.87004,                  1.061,                0.74733,                0.82222,                0.85556,                0.49322,                 1.1984,                 1.5318,                 1.4179,             0.00090556,             0.00090556,             0.00090556
                     40,                0.93192,                0.83896,                 1.0329,                0.77549,                0.91012,                0.91172,                0.48819,                 1.3024,                 1.5469,                 1.5879,             0.00089141,             0.00089141,             0.00089141
                     41,                0.85241,                0.80208,                 1.0369,                0.77549,                0.91012,                0.91172,                0.48819,                 1.3024,                 1.5469,                 1.5879,             0.00087726,             0.00087726,             0.00087726
                     42,                0.91835,                0.86507,                0.99597,                 0.6506,                0.94773,                0.89343,                  0.459,                  1.317,                 1.5145,                 1.7162,             0.00086312,             0.00086312,             0.00086312
                     43,                0.84886,                0.85474,                 1.0703,                0.74299,                0.86263,                0.91353,                0.47243,                 1.3464,                  1.479,                 1.7294,             0.00084897,             0.00084897,             0.00084897
                     44,                0.97162,                0.88045,                 1.0101,                  0.796,                0.98852,                0.94972,                0.50222,                 1.3223,                 1.4092,                 1.6795,             0.00083482,             0.00083482,             0.00083482
                     45,                0.88853,                0.87262,                0.98731,                  0.796,                0.98852,                0.94972,                0.50222,                 1.3223,                 1.4092,                 1.6795,             0.00082067,             0.00082067,             0.00082067
                     46,                0.84958,                0.86441,                 1.0082,                0.89172,                0.84876,                0.95988,                0.57062,                 1.2431,                 1.1286,                 1.5716,             0.00080653,             0.00080653,             0.00080653
                     47,                0.84371,                  0.839,                 1.0317,                0.82474,                0.87438,                0.85012,                0.59994,                 1.2519,                0.98457,                 1.5997,             0.00079238,             0.00079238,             0.00079238
                     48,                0.82741,                0.78812,                 1.0126,                0.85024,                 0.8687,                0.85017,                0.60089,                 1.1654,                0.94134,                  1.488,             0.00077823,             0.00077823,             0.00077823
                     49,                0.82832,                0.80174,                 1.0044,                0.85024,                 0.8687,                0.85017,                0.60089,                 1.1654,                0.94134,                  1.488,             0.00076409,             0.00076409,             0.00076409
                     50,                0.80777,                0.77059,                 0.9797,                0.69611,                0.88889,                0.76622,                0.53824,                 1.2037,                0.99156,                 1.5231,             0.00074994,             0.00074994,             0.00074994
                     51,                0.87664,                 0.7835,                 0.9815,                0.72127,                0.88889,                0.76558,                0.54488,                 1.2052,                 1.0269,                 1.4666,             0.00073579,             0.00073579,             0.00073579
                     52,                0.98444,                 0.9749,                 1.1705,                0.83279,                0.99935,                 0.9675,                0.57397,                 1.1726,                  1.041,                 1.4207,             0.00072164,             0.00072164,             0.00072164
                     53,                0.83424,                0.85845,                 1.0745,                0.83279,                0.99935,                 0.9675,                0.57397,                 1.1726,                  1.041,                 1.4207,              0.0007075,              0.0007075,              0.0007075
                     54,                0.84531,                0.79101,                0.99721,                0.90438,                0.87344,                 0.9675,                0.57764,                 1.2178,                 1.1332,                 1.4064,             0.00069335,             0.00069335,             0.00069335
                     55,                0.79719,                0.97486,                 1.0391,                0.84289,                0.77234,                0.87714,                0.58114,                  1.231,                 1.2695,                 1.3209,              0.0006792,              0.0006792,              0.0006792
                     56,                0.85973,                0.84745,                 1.0024,                0.94015,                0.74858,                0.80305,                0.58433,                 1.1988,                 1.2748,                 1.2854,             0.00066506,             0.00066506,             0.00066506
                     57,                0.83602,                0.94732,                 1.0426,                0.94015,                0.74858,                0.80305,                0.58433,                 1.1988,                 1.2748,                 1.2854,             0.00065091,             0.00065091,             0.00065091
                     58,                0.81524,                0.86207,                0.99493,                0.92959,                0.69786,                0.76315,                0.56665,                 1.1896,                 1.2112,                 1.3061,             0.00063676,             0.00063676,             0.00063676
                     59,                0.90774,                0.79672,                 1.0021,                0.88586,                0.71111,                 0.7656,                0.58226,                 1.2678,                 1.2071,                 1.3534,             0.00062262,             0.00062262,             0.00062262
                     60,                0.87106,                0.77569,                  0.972,                0.92491,                0.73059,                0.77557,                0.58225,                 1.2378,                 1.1942,                 1.3306,             0.00060847,             0.00060847,             0.00060847
                     61,                0.81387,                0.85471,                0.98623,                0.92491,                0.73059,                0.77557,                0.58225,                 1.2378,                 1.1942,                 1.3306,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.7961,                0.80099,                 0.9958,                0.82126,                0.76506,                0.77553,                0.58968,                  1.178,                  1.145,                 1.3026,             0.00058017,             0.00058017,             0.00058017
                     63,                0.99343,                 1.0491,                 1.1608,                0.94758,                0.67159,                0.77903,                0.59452,                 1.1778,                 1.1734,                 1.3293,             0.00056603,             0.00056603,             0.00056603
                     64,                0.73331,                0.84219,                0.98379,                0.90993,                0.67569,                0.77969,                0.61103,                 1.0958,                  1.126,                 1.3056,             0.00055188,             0.00055188,             0.00055188
                     65,                0.74074,                0.69774,                0.95687,                0.90993,                0.67569,                0.77969,                0.61103,                 1.0958,                  1.126,                 1.3056,             0.00053773,             0.00053773,             0.00053773
                     66,                0.74196,                0.75543,                0.98307,                0.91019,                0.67877,                0.81333,                0.60998,                 1.0792,                 1.1144,                 1.3209,             0.00052359,             0.00052359,             0.00052359
                     67,                0.74549,                0.70672,                0.95523,                0.88481,                0.69081,                0.84833,                0.63126,                  1.063,                 1.0836,                 1.3223,             0.00050944,             0.00050944,             0.00050944
                     68,                0.77059,                0.70696,                0.93911,                0.74378,                0.88835,                0.87714,                0.63325,                 1.0736,                 1.0482,                 1.3376,             0.00049529,             0.00049529,             0.00049529
                     69,                0.73652,                0.73378,                0.96324,                0.74378,                0.88835,                0.87714,                0.63325,                 1.0736,                 1.0482,                 1.3376,             0.00048114,             0.00048114,             0.00048114
                     70,                0.76537,                0.74387,                 0.9709,                0.99153,                0.80095,                0.93214,                0.64626,                 1.1162,                 1.0004,                 1.3615,               0.000467,               0.000467,               0.000467
                     71,                0.71976,                0.67656,                0.93847,                0.94811,                0.80322,                  0.951,                0.63645,                 1.1697,                 1.0044,                 1.4217,             0.00045285,             0.00045285,             0.00045285
                     72,                0.75905,                 0.7999,                0.97774,                0.91815,                0.97147,                  0.995,                0.65579,                 1.1886,                 1.0411,                 1.4506,              0.0004387,              0.0004387,              0.0004387
                     73,                0.67211,                0.72734,                0.93459,                0.91815,                0.97147,                  0.995,                0.65579,                 1.1886,                 1.0411,                 1.4506,             0.00042456,             0.00042456,             0.00042456
                     74,                0.71121,                0.69634,                0.94765,                0.90444,                0.97128,                  0.995,                0.65997,                 1.1969,                 1.0545,                 1.4709,             0.00041041,             0.00041041,             0.00041041
                     75,                0.68057,                0.70763,                0.94513,                0.89659,                0.97414,                  0.995,                0.64607,                 1.1956,                 1.0404,                 1.4662,             0.00039626,             0.00039626,             0.00039626
                     76,                0.79021,                0.78617,                 0.9389,                0.91401,                 0.9825,                  0.995,                0.62449,                 1.1575,                 1.0344,                 1.4379,             0.00038211,             0.00038211,             0.00038211
                     77,                0.70825,                0.73882,                0.98639,                0.91401,                 0.9825,                  0.995,                0.62449,                 1.1575,                 1.0344,                 1.4379,             0.00036797,             0.00036797,             0.00036797
                     78,                0.73643,                0.67698,                0.97186,                0.92054,                0.99055,                  0.995,                0.62849,                 1.1693,                0.99886,                 1.4458,             0.00035382,             0.00035382,             0.00035382
                     79,                0.64907,                0.67178,                0.92185,                0.93951,                0.98546,                  0.995,                0.63073,                 1.1524,                0.93537,                 1.4177,             0.00033967,             0.00033967,             0.00033967
                     80,                 0.6816,                0.66575,                0.93295,                0.95592,                0.99018,                  0.995,                0.66417,                 1.1452,                0.87172,                 1.4024,             0.00032553,             0.00032553,             0.00032553
                     81,                0.81414,                 1.1473,                 1.1324,                0.95592,                0.99018,                  0.995,                0.66417,                 1.1452,                0.87172,                 1.4024,             0.00031138,             0.00031138,             0.00031138
                     82,                0.70437,                0.66354,                0.94641,                0.96938,                0.99236,                  0.995,                0.67348,                 1.1466,                 0.8433,                 1.4212,             0.00029723,             0.00029723,             0.00029723
                     83,                0.70824,                0.75668,                 1.0271,                 0.9741,                0.99569,                  0.995,                 0.6801,                 1.1344,                0.83523,                 1.4131,             0.00028308,             0.00028308,             0.00028308
                     84,                0.63695,                 0.6137,                0.91569,                0.97402,                      1,                  0.995,                 0.6757,                 1.1331,                0.84394,                 1.4125,             0.00026894,             0.00026894,             0.00026894
                     85,                0.67331,                0.71879,                0.96697,                0.97402,                      1,                  0.995,                 0.6757,                 1.1331,                0.84394,                 1.4125,             0.00025479,             0.00025479,             0.00025479
                     86,                0.66557,                0.61309,                0.90809,                0.96891,                      1,                  0.995,                0.65041,                 1.1183,                0.84809,                 1.4006,             0.00024064,             0.00024064,             0.00024064
                     87,                0.66138,                0.61293,                0.91038,                0.95944,                      1,                  0.995,                0.65366,                 1.1125,                0.85329,                 1.3921,              0.0002265,              0.0002265,              0.0002265
                     88,                0.63799,                0.58917,                0.90645,                0.94659,                      1,                  0.995,                0.65898,                  1.114,                0.84246,                 1.3921,             0.00021235,             0.00021235,             0.00021235
                     89,                0.64517,                0.59596,                0.94677,                0.94659,                      1,                  0.995,                0.65898,                  1.114,                0.84246,                 1.3921,              0.0001982,              0.0001982,              0.0001982
                     90,                0.66975,                0.59855,                0.92322,                0.93712,                      1,                  0.995,                0.66545,                 1.1065,                0.83706,                 1.3723,             0.00018406,             0.00018406,             0.00018406
                     91,                0.67041,                 1.2798,                0.88495,                0.93324,                0.99736,                  0.995,                0.67935,                 1.0925,                0.83685,                 1.3467,             0.00016991,             0.00016991,             0.00016991
                     92,                0.59547,                 1.0332,                0.88038,                 0.9297,                0.98807,                  0.995,                0.67185,                 1.0923,                0.85451,                 1.3208,             0.00015576,             0.00015576,             0.00015576
                     93,                0.68505,                0.72756,                0.88607,                 0.9297,                0.98807,                  0.995,                0.67185,                 1.0923,                0.85451,                 1.3208,             0.00014161,             0.00014161,             0.00014161
                     94,                0.58238,                0.68007,                0.88148,                0.89756,                      1,                  0.995,                0.68339,                  1.072,                0.87765,                 1.2854,             0.00012747,             0.00012747,             0.00012747
                     95,                0.55067,                0.73943,                0.88119,                0.92206,                0.88061,                 0.9675,                0.65185,                 1.0742,                 0.9254,                 1.2775,             0.00011332,             0.00011332,             0.00011332
                     96,                0.52389,                0.59961,                0.86159,                0.92522,                0.87899,                 0.9675,                0.64093,                  1.085,                0.95989,                 1.2759,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.92612,                 1.1735,                 1.1613,                0.92522,                0.87899,                 0.9675,                0.64093,                  1.085,                0.95989,                 1.2759,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.60732,                0.64612,                0.86041,                0.93982,                0.86963,                   0.94,                0.63525,                 1.0811,                 0.9764,                 1.2752,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.52646,                0.59249,                0.84859,                0.95461,                0.86158,                0.93214,                0.67385,                 1.0744,                0.98672,                 1.2716,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.6414,                0.67562,                0.87082,                0.94008,                0.74913,                0.89548,                0.64445,                 1.0663,                 1.0016,                 1.2716,             4.2584e-05,             4.2584e-05,             4.2584e-05
